Period,Airport A,Airport B
1/1/2010,1297508,1453070
2/1/2010,1209205,1319609
3/1/2010,1469505,1433403
4/1/2010,1378510,1364560
5/1/2010,1701556,1353164
6/1/2010,1793868,1387185
7/1/2010,2078649,1611170
8/1/2010,2092679,1598033
9/1/2010,1861923,1443279
10/1/2010,1726255,1521344
11/1/2010,1421141,1423976
12/1/2010,1405224,1525026
1/1/2011,1379292,1573687
2/1/2011,1275629,1375657
3/1/2011,1503590,1526211
4/1/2011,1671192,1496577
5/1/2011,1779046,1506001
6/1/2011,1912549,1483832
7/1/2011,2221354,1738238
8/1/2011,2162859,1711221
9/1/2011,1996926,1586408
10/1/2011,1802162,1639559
11/1/2011,1477209,1564367
12/1/2011,1524104,1695883
1/1/2012,1452246,1760103
2/1/2012,1349700,1582866
3/1/2012,1611253,1673102
4/1/2012,1756830,1674648
5/1/2012,1824698,1638552
6/1/2012,1990771,1695763
7/1/2012,2244212,1935625
8/1/2012,2221126,1897506
9/1/2012,2040222,1729669
10/1/2012,1786643,1768806
11/1/2012,1488052,1700871
12/1/2012,1518288,1816655
1/1/2013,1440213,1857455
2/1/2013,1358084,1626856
3/1/2013,1654888,1780605
4/1/2013,1725006,1684753
5/1/2013,1889296,1708447
6/1/2013,2042289,1744287
7/1/2013,2236481,1983316
8/1/2013,2325909,1955305
9/1/2013,2077748,1764543
10/1/2013,1874698,1824483
11/1/2013,1510060,1738426
12/1/2013,1599659,1905956
1/1/2014,1544506,1942374
2/1/2014,1431017,1695094
3/1/2014,1701397,1827166
4/1/2014,1884109,1825649
5/1/2014,2018788,1825242
6/1/2014,2204378,1851893
7/1/2014,2385851,2072869
8/1/2014,2536686,2112976
9/1/2014,2047110,1873246
10/1/2014,2011542,1985542
11/1/2014,1606047,1858896
12/1/2014,1736936,2058805
1/1/2015,1657945,2077416
2/1/2015,1541771,1844661
3/1/2015,1814717,1984734
4/1/2015,1954654,1967274
5/1/2015,2135511,1982452
6/1/2015,2258314,1869221
7/1/2015,2566455,2148959
8/1/2015,2695673,2179972
9/1/2015,2355727,1958005
10/1/2015,2131943,2037311
11/1/2015,1667373,1933002
12/1/2015,1786184,2139395
1/1/2016,1752738,2184109
2/1/2016,1647895,1960828
3/1/2016,1901293,2038875
4/1/2016,2045513,1967535
5/1/2016,2257659,2012810
6/1/2016,2316343,2042334
7/1/2016,2707587,2368005
8/1/2016,2740868,2416589
9/1/2016,2445563,2124874
10/1/2016,2227794,2120450
11/1/2016,1787490,2071020
12/1/2016,1928648,2285216
1/1/2017,1878119,2347398
2/1/2017,1711169,2056776
3/1/2017,1952054,2189070
4/1/2017,2228560,2160998
5/1/2017,2318651,2128778
6/1/2017,2356862,2158659
7/1/2017,2721782,2453504
8/1/2017,2741897,2429111
9/1/2017,2439839,2200406
10/1/2017,2209447,2261449
11/1/2017,1777888,2188877
12/1/2017,1892273,2379984
1/1/2018,1852488,2424323
2/1/2018,1694365,2150457
3/1/2018,2016867,2325685
4/1/2018,2129315,2227442
5/1/2018,2283395,2203752
6/1/2018,2489061,2226932
7/1/2018,2811112,2519691
8/1/2018,2828484,2481042
9/1/2018,2514503,2216614
10/1/2018,2306494,2294396
11/1/2018,1876508,2206511
12/1/2018,1953088,2363538
1/1/2019,1892768,2407923
2/1/2019,1776443,2111710
3/1/2019,2090996,2305046
4/1/2019,2354154,2240751
5/1/2019,2388849,2237434
6/1/2019,2644725,2265188
7/1/2019,2899323,2520803
8/1/2019,2948053,2515436
9/1/2019,2610685,2305715
10/1/2019,2414394,2306919
11/1/2019,1961735,2196438
12/1/2019,2041794,2407678
1/1/2020,1977608,2405145
2/1/2020,1777367,1873102
3/1/2020,852417,1035982
4/1/2020,54926,75710
5/1/2020,68133,76913
6/1/2020,202464,142262
7/1/2020,605581,252543
8/1/2020,761885,310215
9/1/2020,496842,322227
10/1/2020,430809,384006
11/1/2020,253215,410163
12/1/2020,392242,522503
1/1/2021,396414,443310
2/1/2021,314196,356664
3/1/2021,370843,468608
4/1/2021,380812,521866
5/1/2021,474442,572686
6/1/2021,724458,571425
7/1/2021,1237518,656944
8/1/2021,1431432,712276
9/1/2021,1213027,678664
10/1/2021,1251322,756697
11/1/2021,1145627,871973
12/1/2021,1214126,1058839
1/1/2022,973529,969870
2/1/2022,1040115,830784
3/1/2022,1400277,1116679
4/1/2022,1670615,1212687
5/1/2022,1969693,1253327
6/1/2022,2178360,1324082
7/1/2022,2435957,1569834
8/1/2022,2444072,1576904
9/1/2022,2201351,1478988
10/1/2022,2100860,1592908
11/1/2022,1727723,1602351
12/1/2022,1755963,1660503
1/1/2023,1761112,1816111
2/1/2023,1657883,1651736
3/1/2023,1903461,1827015
4/1/2023,2115612,1803751
